eenheid	omschrijving	open
khfran	houtkant met dominantie van sporkehout (Frangula alnus)	FALSE
khfran-	houtkant met dominantie van sporkehout (Frangula alnus), zwak ontwikkeld en/of weinig voorkomend	FALSE
khfran+	houtkant met dominantie van sporkehout (Frangula alnus), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khgml	houtkant met gemengd loofhout	FALSE
khgml-	houtkant met gemengd loofhout, zwak ontwikkeld en/of weinig voorkomend	FALSE
khgml+	houtkant met gemengd loofhout, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khgmn	houtkant met gemengd naaldhout	FALSE
khgmn-	houtkant met gemengd naaldhout, zwak ontwikkeld en/of weinig voorkomend	FALSE
khgmn+	houtkant met gemengd naaldhout, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khlar	houtkant met dominantie van lork (Larix sp.)	FALSE
khlar-	houtkant met dominantie van lork (Larix sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khlar+	houtkant met dominantie van lork (Larix sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khlig	houtkant met dominantie liguster (Ligustrum sp.)	TRUE
khlig-	houtkant met dominantie liguster (Ligustrum sp.), zwak ontwikkeld en/of weinig voorkomend	TRUE
khlig+	houtkant met dominantie liguster (Ligustrum sp.), goed ontwikkeld en/of veelvuldig voorkomend	TRUE
khp	houtkant met dominantie van populier (Populus sp.)	FALSE
khp-	houtkant met dominantie van populier (Populus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khp+	houtkant met dominantie van populier (Populus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khpins	houtkant met dominantie van grove den (Pinus sylvestris)	FALSE
khpins-	houtkant met dominantie van grove den (Pinus sylvestris), zwak ontwikkeld en/of weinig voorkomend	FALSE
khpins+	houtkant met dominantie van grove den (Pinus sylvestris), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khpr	houtkant met dominantie van Amerikaanse vogelkers (Prunus serotina)	FALSE
khpr-	houtkant met dominantie van Amerikaanse vogelkers (Prunus serotina), zwak ontwikkeld en/of weinig voorkomend	FALSE
khpr+	houtkant met dominantie van Amerikaanse vogelkers (Prunus serotina), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khprua	houtkant met dominantie van zoete kers (Prunus avium)	FALSE
khprua-	houtkant met dominantie van zoete kers (Prunus avium), zwak ontwikkeld en/of weinig voorkomend	FALSE
khprua+	houtkant met dominantie van zoete kers (Prunus avium), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khpt	houtkant met dominantie van ratelpopulier (Populus tremula)	FALSE
khpt-	houtkant met dominantie van ratelpopulier (Populus tremula), zwak ontwikkeld en/of weinig voorkomend	FALSE
khpt+	houtkant met dominantie van ratelpopulier (Populus tremula), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khq	houtkant met doninatie van zomereik (Quercus robur)	FALSE
khq-	houtkant met doninatie van zomereik (Quercus robur), zwak ontwikkeld en/of weinig voorkomend	FALSE
khq+	houtkant met doninatie van zomereik (Quercus robur), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khqr	houtkant met dominantie van Amerikaanse eik (Quercus rubra)	FALSE
khqr-	houtkant met dominantie van Amerikaanse eik (Quercus rubra), zwak ontwikkeld en/of weinig voorkomend	FALSE
khqr+	houtkant met dominantie van Amerikaanse eik (Quercus rubra), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khr	houtkant met dominantie van robinia (Robinia pseudoacacia)	FALSE
khr-	houtkant met dominantie van robinia (Robinia pseudoacacia), zwak ontwikkeld en/of weinig voorkomend	FALSE
khr+	houtkant met dominantie van robinia (Robinia pseudoacacia), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khs	houtkant met dominantie van wilg (Salix sp.)	FALSE
khs-	houtkant met dominantie van wilg (Salix sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khs+	houtkant met dominantie van wilg (Salix sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khsa	houtkant met dominantie van vlier (Sambucus sp.)	TRUE
khsa-	houtkant met dominantie van vlier (Sambucus sp.), zwak ontwikkeld en/of weinig voorkomend	TRUE
khsa+	houtkant met dominantie van vlier (Sambucus sp.), goed ontwikkeld en/of veelvuldig voorkomend	TRUE
khu	houtkant met dominantie van iep (Ulmus sp.)	FALSE
khu-	houtkant met dominantie van iep (Ulmus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khu+	houtkant met dominantie van iep (Ulmus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khw	houtwal	TRUE
khw-	houtwal, zwak ontwikkeld en/of weinig voorkomend	TRUE
khw+	houtwal, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
khwa	houtwal met dominantie van els ( Alnus sp.)	FALSE
khwa-	houtwal met dominantie van els ( Alnus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwa+	houtwal met dominantie van els ( Alnus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwac	houtwal met dominantie van esdoorn (Acer sp.)	FALSE
khwac-	houtwal met dominantie van esdoorn (Acer sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwac+	houtwal met dominantie van esdoorn (Acer sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwb	houtwal met dominantie van berk (Betulus sp.)	FALSE
khwb-	houtwal met dominantie van berk (Betulus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwb+	houtwal met dominantie van berk (Betulus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwca	houtwal met dominantie van haagbeuk (Carpinus betulus)	FALSE
khwca-	houtwal met dominantie van haagbeuk (Carpinus betulus), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwca+	houtwal met dominantie van haagbeuk (Carpinus betulus), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwco	houtwal met dominantie van hazelaar (Corylus avellana)	FALSE
khwco-	houtwal met dominantie van hazelaar (Corylus avellana), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwco+	houtwal met dominantie van hazelaar (Corylus avellana), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwcr	houtwal met dominantie van meidoorn (Crataegus sp.)	TRUE
khwcr-	houtwal met dominantie van meidoorn (Crataegus sp.), zwak ontwikkeld en/of weinig voorkomend	TRUE
khwcr+	houtwal met dominantie van meidoorn (Crataegus sp.), goed ontwikkeld en/of veelvuldig voorkomend	TRUE
khwf	houtwal met dominantie van beuk (Fagus sylvatica)	FALSE
khwf-	houtwal met dominantie van beuk (Fagus sylvatica), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwf+	houtwal met dominantie van beuk (Fagus sylvatica), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwfr	houtwal met dominantie van es (Fraxinus excelsior)	FALSE
khwfr-	houtwal met dominantie van es (Fraxinus excelsior), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwfr+	houtwal met dominantie van es (Fraxinus excelsior), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwgml	houtwal met gemengd loofhout	FALSE
khwgmn	houtwal met gemengd naaldhout	FALSE
khwp	houtwal met dominantie van populier (Populus sp.)	FALSE
khwp-	houtwal met dominantie van populier (Populus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwp+	houtwal met dominantie van populier (Populus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwpt	houtwal met dominantie van ratelpopulier (Populus tremula)	FALSE
khwpt-	houtwal met dominantie van ratelpopulier (Populus tremula), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwpt+	houtwal met dominantie van ratelpopulier (Populus tremula), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwq	houtwal met dominantie van zomereik (Quercus robur)	FALSE
khwq-	houtwal met dominantie van zomereik (Quercus robur), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwq+	houtwal met dominantie van zomereik (Quercus robur), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwqr	houtwal met dominantie van Amerikaanse eik (Quercus rubra)	FALSE
khwqr-	houtwal met dominantie van Amerikaanse eik (Quercus rubra), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwqr+	houtwal met dominantie van Amerikaanse eik (Quercus rubra), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwr	houtwal met dominantie van robinia (Robinia pseudoacacia)	FALSE
khwr-	houtwal met dominantie van robinia (Robinia pseudoacacia), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwr+	houtwal met dominantie van robinia (Robinia pseudoacacia), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khws	houtwal met dominantie van wilg (Salix sp.)	FALSE
khws-	houtwal met dominantie van wilg (Salix sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khws+	houtwal met dominantie van wilg (Salix sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khwu	houtwal met dominantie van iep (Ulmus sp.)	FALSE
khwu-	houtwal met dominantie van iep (Ulmus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khwu+	houtwal met dominantie van iep (Ulmus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
ki	vliegveld	TRUE
kj	hoogstamboomgaard	TRUE
kj-	hoogstamboomgaard, gedegradeerde of jonge hoogstamboomgaard	TRUE
kj+	hoogstamboomgaard, goed ontwikkelde hoogstamboomgaard	TRUE
kk	doline of ingang ondergrondse mergelgroeve	TRUE
kl	laagstamboomgaard	TRUE
km	muurvegetatie	FALSE
km-	muurvegetatie, zwak ontwikkeld en/of weinig voorkomend	FALSE
km+	muurvegetatie, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kn	veedrinkpoel	FALSE
kn-	veedrinkpoel, zwak ontwikkeld en/of weinig in complex	FALSE
kn+	veedrinkpoel, goed ontwikkeld en/of veel in complex	FALSE
ko	stort	FALSE
kp	park	FALSE
kp-	park, kunstmatig aandoend park of parkachtig kerkhof met weinig natuurlijke elementen	FALSE
kp+	park, park of parkachtig kerkhof met (veel) natuurlijke elementen	FALSE
kpa	arboretum	FALSE
kpk	kasteelpark	FALSE
kpk-	kasteelpark, kunstmatig aandoend kasteelpark met weinig natuurlijke elementen	FALSE
kpk+	kasteelpark, kasteelpark met (veel) natuurlijke elementen	FALSE
kq	kwekerij of serre	FALSE
kr	rots	FALSE
ks	verlaten spoorweg	FALSE
kt	talud	TRUE
kt-	talud, zwak ontwikkeld en weinig in complex	TRUE
kt(cd-)	taluds met gedegradeerde heide met dominantie van bochtige smele, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(cd)	taluds met gedegradeerde heide met dominantie van bochtige smele	FALSE
kt(cd+)	taluds met gedegradeerde heide met dominantie van bochtige smele, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(cdb-)	taluds met gedegradeerde heide met dominantie van bochtige smele met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(cdb)	taluds met gedegradeerde heide met dominantie van bochtige smele met beperkte opslag van struiken en bomen	FALSE
kt(cdb+)	taluds met gedegradeerde heide met dominantie van bochtige smele met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(ce-)	taluds met vochtige tot natte dopheidevegetatie, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(ce)	taluds met vochtige tot natte dopheidevegetatie	FALSE
kt(ce+)	taluds met vochtige tot natte dopheidevegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(cg-)	taluds met droge struikheidevegetatie, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(cg)	taluds met droge struikheidevegetatie	FALSE
kt(cg+)	taluds met droge struikheidevegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	NA
kt(cgb-)	taluds met droge struikheidevegetatie met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(cgb)	taluds met droge struikheidevegetatie met beperkte opslag van struiken en bomen	FALSE
kt(cgb+)	taluds met droge struikheidevegetatie met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(cm-)	taluds met gedegradeerde heide met dominantie van pijpenstrootje, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(cm)	taluds met gedegradeerde heide met dominantie van pijpenstrootje	FALSE
kt(cm+)	taluds met gedegradeerde heide met dominantie van pijpenstrootje, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(cmb-)	taluds met gedegradeerde heide met dominantie van pijpenstrootje met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(cmb)	taluds met gedegradeerde heide met dominantie van pijpenstrootje met beperkte opslag van struiken en bomen	FALSE
kt(cmb+)	taluds met gedegradeerde heide met dominantie van pijpenstrootje met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(cp-)	taluds met gedegradeerde heide met dominantie van adelaarsvaren, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(cp)	taluds met gedegradeerde heide met dominantie van adelaarsvaren	FALSE
kt(cp+)	taluds met gedegradeerde heide met dominantie van adelaarsvaren, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(cpb-)	taluds met gedegradeerde heide met dominantie van adelaarsvaren met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(cpb)	taluds met gedegradeerde heide met dominantie van adelaarsvaren met beperkte opslag van struiken en bomen	FALSE
kt(cpb+)	taluds met gedegradeerde heide met dominantie van adelaarsvaren met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(da-)	taluds met zilte elementen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(da)	taluds met zilte elementen	FALSE
kt(da+)	taluds met zilte elementen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(fa-)	taluds met beukenbos met voorjaarsflora, zonder wilde hyacint, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(fa)	taluds met beukenbos met voorjaarsflora, zonder wilde hyacint	FALSE
kt(fa+)	taluds met beukenbos met voorjaarsflora, zonder wilde hyacint, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(fe-)	taluds met beukenbos met wilde hyacint, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(fe)	taluds met beukenbos met wilde hyacint	FALSE
kt(fe+)	taluds met beukenbos met wilde hyacint, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(fk-)	taluds met beukenbos op mergel, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(fk)	taluds met beukenbos op mergel	FALSE
kt(fk+)	taluds met beukenbos op mergel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(fl-)	taluds met beukenbos met witte veldbies, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(fl)	taluds met beukenbos met witte veldbies	FALSE
kt(fl+)	taluds met beukenbos met witte veldbies, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(fm-)	taluds met beukenbos met parelgras en lievevrouwebedstro, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(fm)	taluds met beukenbos met parelgras en lievevrouwebedstro	FALSE
kt(fm+)	taluds met beukenbos met parelgras en lievevrouwebedstro, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(fs-)	taluds met zuur beukenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(fs)	taluds met zuur beukenbos	FALSE
kt(fs+)	taluds met zuur beukenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(ha-)	taluds met struisgrasvegetatie, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(ha)	taluds met struisgrasvegetatie	TRUE
kt(ha+)	taluds met struisgrasvegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(hab-)	taluds met struisgrasvegetatie met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(hab)	taluds met struisgrasvegetatie met beperkte opslag van struiken en bomen	TRUE
kt(hab+)	taluds met struisgrasvegetatie met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(hc-)	taluds met dotterbloemgrasland, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(hc)	taluds met dotterbloemgrasland	FALSE
kt(hc+)	taluds met dotterbloemgrasland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(hd-)	taluds met droog duingrasland van kalkrijke milieus, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(hd)	taluds met droog duingrasland van kalkrijke milieus	FALSE
kt(hd+)	taluds met droog duingrasland van kalkrijke milieus, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(hf-)	taluds met moerasspirearuigte, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(hf)	taluds met moerasspirearuigte	FALSE
kt(hf+)	taluds met moerasspirearuigte, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(hfb-)	taluds met moerasspirearuigte met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(hfb)	taluds met moerasspirearuigte met beperkte opslag van struiken en bomen	FALSE
kt(hfb+)	taluds met moerasspirearuigte met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(hj-)	taluds met vochtig grasland gedomineerd door russen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(hj)	taluds met vochtig grasland gedomineerd door russen	FALSE
kt(hj+)	taluds met vochtig grasland gedomineerd door russen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(hjb-)	taluds met vochtig grasland gedomineerd door russen met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(hjb)	taluds met vochtig grasland gedomineerd door russen met beperkte opslag van struiken en bomen	FALSE
kt(hjb+)	taluds met vochtig grasland gedomineerd door russen met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(hk-)	taluds met kalkgraslanden, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(hk)	taluds met kalkgraslanden	TRUE
kt(hk+)	taluds met kalkgraslanden, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(hm-)	taluds met vochtig schraalgrasland, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(hm)	taluds met vochtig schraalgrasland	FALSE
kt(hm+)	taluds met vochtig schraalgrasland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(hn-)	taluds met droog heischraal grasland, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(hn)	taluds met droog heischraal grasland	TRUE
kt(hn+)	taluds met droog heischraal grasland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(hp+)	taluds met soosrtenrijk permanent cultuurgrasland	TRUE
kt(hr-)	taluds met verruigd grasland, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(hr)	taluds met verruigd grasland	TRUE
kt(hr+)	taluds met verruigd grasland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(hrb-)	taluds met verruigd grasland met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(hrb)	taluds met verruigd grasland met beperkte opslag van struiken en bomen	TRUE
kt(hrb+)	taluds met verruigd grasland met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(hu-)	taluds met mesofiel hooiland, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(hu)	taluds met mesofiel hooiland	TRUE
kt(hu+)	taluds met mesofiel hooiland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(ku-)	taluds met ruigte of pioniersvegetatie, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(ku)	taluds met ruigte of pioniersvegetatie	TRUE
kt(ku+)	taluds met ruigte of pioniersvegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(kub-)	taluds met ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(kub)	taluds met ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen	TRUE
kt(kub+)	taluds met ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(mc-)	taluds met grote zeggenvegetatie, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mc)	taluds met grote zeggenvegetatie	FALSE
kt(mc+)	taluds met grote zeggenvegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(mcb-)	taluds met grote zeggenvegetatie met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mcb)	taluds met grote zeggenvegetatie met beperkte opslag van struiken en bomen	FALSE
kt(mcb+)	taluds met grote zeggenvegetatie met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(mr-)	taluds met rietland of andere vegetaties van het rietverbond, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mr)	taluds met rietland of andere vegetaties van het rietverbond	FALSE
kt(mr+)	taluds met rietland of andere vegetaties van het rietverbond, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(mrb-)	taluds met rietland of andere vegetaties van het rietverbond met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mrb)	taluds met rietland of andere vegetaties van het rietverbond met beperkte opslag van struiken en bomen	FALSE
kt(mrb+)	taluds met rietland of andere vegetaties van het rietverbond met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(ms-)	taluds met zuur laagveen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(ms)	taluds met zuur laagveen	FALSE
kt(ms+)	taluds met zuur laagveen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(mz-)	taluds met brak tot zilt moeras met heen, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(mz)	taluds met brak tot zilt moeras met heen	FALSE
kt(mz+)	taluds met brak tot zilt moeras met heen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qa-)	taluds met eiken-haagbeukenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qa)	taluds met eiken-haagbeukenbos	FALSE
kt(qa+)	taluds met eiken-haagbeukenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qb-)	taluds met eiken-berkenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qb)	taluds met eiken-berkenbos	FALSE
kt(qb+)	taluds met eiken-berkenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qe-)	taluds met eiken-haagbeukenbos met wilde hyacint, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qe)	taluds met eiken-haagbeukenbos met wilde hyacint	FALSE
kt(qe+)	taluds met eiken-haagbeukenbos met wilde hyacint, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qk-)	taluds met eiken-haagbeukenbos op mergel, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qk)	taluds met eiken-haagbeukenbos op mergel	FALSE
kt(qk+)	taluds met eiken-haagbeukenbos op mergel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(ql-)	taluds met eikenbos met witte veldbies, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(ql)	taluds met eikenbos met witte veldbies	FALSE
kt(ql+)	taluds met eikenbos met witte veldbies, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(qs-)	taluds met zuur eikenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(qs)	taluds met zuur eikenbos	FALSE
kt(qs+)	taluds met zuur eikenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(ru-)	taluds met ruderaal olmenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(ru)	taluds met ruderaal olmenbos	FALSE
kt(ru+)	taluds met ruderaal olmenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(sf-)	talud met vochtig wilgenstruweel op voedselrijke bodem, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(sf)	talud met vochtig wilgenstruweel op voedselrijke bodem	FALSE
kt(sf+)	talud met vochtig wilgenstruweel op voedselrijke bodem, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(sg-)	taluds met bremstruweel, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(sg)	taluds met bremstruweel	TRUE
kt(sg+)	taluds met bremstruweel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(sgb-)	taluds met bremstruweel met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(sgb)	taluds met bremstruweel met beperkte opslag van struiken en bomen	TRUE
kt(sgb+)	taluds met bremstruweel met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(sgu-)	taluds met gaspeldoornstruweel, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(sgu)	taluds met gaspeldoornstruweel	FALSE
kt(sgu+)	taluds met gaspeldoornstruweel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(sk-)	taluds met struweel op kalkrijke bodem, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(sk)	taluds met struweel op kalkrijke bodem	TRUE
kt(sk+)	taluds met struweel op kalkrijke bodem, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(sp-)	taluds met doornstruweel, weinig in aantal maar relatief goed ontwikkeld	TRUE
kt(sp)	taluds met doornstruweel	TRUE
kt(sp+)	taluds met doornstruweel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
kt(sz-)	taluds met opslag van allerlei aard, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(sz)	taluds met opslag van allerlei aard	FALSE
kt(sz+)	taluds met opslag van allerlei aard, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(va-)	taluds met alluviaal elzen- essenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(va)	taluds met alluviaal elzen- essenbos	FALSE
kt(va+)	taluds met alluviaal elzen- essenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(vm-)	taluds met elzenbroek, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(vm)	taluds met elzenbroek	FALSE
kt(vm+)	taluds met elzenbroek, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt(vn-)	taluds met nitrofiel alluviaal elzenbos, weinig in aantal maar relatief goed ontwikkeld	FALSE
kt(vn)	taluds met nitrofiel alluviaal elzenbos	FALSE
kt(vn+)	taluds met nitrofiel alluviaal elzenbos, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
kt+	talud, veel en/of met soortenrijke vegetatie, ook al is die niet met andere karteringseenheid aangeduid	FALSE
ku	ruigte of pioniersvegetatie	TRUE
ku-	ruigte of pioniersvegetatie, slechts banale soorten aanwezig	TRUE
ku+	ruigte of pioniersvegetatie, (zeer) soortenrijk met minder algemene soorten	TRUE
kub	ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen	TRUE
kub-	ruigte of pioniersvegetatie met beperkte opslag van struiken en bomen, slechts banale soorten aanwezig	TRUE
